"Location","0-24","25-34","35-44","45-54","55+","Total"
"United States","2545","5911","5389","6469","4735","25052"
"Alabama","20","53","32","34","27","166"
"Alaska","NSD","NSD","NSD","NSD","NSD","69"
"Arizona","69","118","102","132","106","527"
"Arkansas","24","39","31","34","34","162"
"California","177","359","332","502","577","1948"
"Colorado","67","88","84","100","94","433"
"Connecticut","45","113","92","114","75","439"
"Delaware","NSD","NSD","NSD","NSD","NSD","113"
"District of Columbia","NSD","NSD","NSD","15","30","60"
"Florida","84","270","279","361","274","1268"
"Georgia","53","114","125","139","99","530"
"Hawaii","NSD","NSD","NSD","NSD","NSD","69"
"Idaho","NSD","NSD","NSD","NSD","NSD","77"
"Illinois","141","286","217","262","166","1072"
"Indiana","49","106","84","77","44","360"
"Iowa","24","31","47","41","36","179"
"Kansas","17","33","37","42","29","158"
"Kentucky","56","155","166","184","104","665"
"Louisiana","29","72","72","46","46","265"
"Maine","NSD","NSD","NSD","NSD","NSD","125"
"Maryland","71","198","145","210","124","749"
"Massachusetts","75","246","214","243","110","888"
"Michigan","99","232","182","232","164","909"
"Minnesota","34","77","56","83","55","305"
"Mississippi","NSD","NSD","NSD","NSD","NSD","100"
"Missouri","67","144","158","161","90","620"
"Montana","NSD","12","16","26","NSD","67"
"Nebraska","NSD","NSD","NSD","13","10","41"
"Nevada","34","75","64","114","111","398"
"New Hampshire","17","35","33","45","27","157"
"New Jersey","95","180","133","178","89","675"
"New Mexico","34","59","76","84","68","322"
"New York","208","399","312","426","336","1681"
"North Carolina","74","182","221","239","118","834"
"North Dakota","NSD","NSD","NSD","NSD","NSD","11"
"Ohio","130","432","372","455","241","1630"
"Oklahoma","48","87","100","149","127","511"
"Oregon","22","55","72","69","83","301"
"Pennsylvania","112","290","212","209","135","958"
"Rhode Island","13","42","39","68","28","190"
"South Carolina","12","49","63","78","45","247"
"South Dakota","NSD","NSD","NSD","13","NSD","34"
"Tennessee","53","149","198","210","157","767"
"Texas","149","248","210","236","210","1053"
"Utah","55","120","91","98","68","432"
"Vermont","NSD","NSD","NSD","NSD","NSD","70"
"Virginia","59","187","143","151","100","640"
"Washington","51","127","137","166","159","640"
"West Virginia","32","131","125","132","70","490"
"Wisconsin","83","149","126","138","103","599"
"Wyoming","NSD","NSD","13","13","NSD","48"