"Location","Male","Female","Total"
"United States","18420","10227","28647"
"Alabama","160","110","270"
"Alaska","45","31","76"
"Arizona","375","214","589"
"Arkansas","97","76","173"
"California","1322","702","2024"
"Colorado","317","200","517"
"Connecticut","357","168","525"
"Delaware","84","40","124"
"District of Columbia","45","18","63"
"Florida","865","534","1399"
"Georgia","440","270","710"
"Hawaii","34","25","59"
"Idaho","30","48","78"
"Illinois","821","384","1205"
"Indiana","313","149","462"
"Iowa","89","69","158"
"Kansas","99","74","173"
"Kentucky","463","266","729"
"Louisiana","185","75","260"
"Maine","116","55","171"
"Maryland","651","270","921"
"Massachusetts","817","323","1140"
"Michigan","687","365","1052"
"Minnesota","202","116","318"
"Mississippi","67","48","115"
"Missouri","442","254","696"
"Montana","26","27","53"
"Nebraska","30","26","56"
"Nevada","202","173","375"
"New Hampshire","212","85","297"
"New Jersey","505","223","728"
"New Mexico","242","160","402"
"New York","1200","539","1739"
"North Carolina","587","380","967"
"North Dakota","18","13","31"
"Ohio","1407","699","2106"
"Oklahoma","269","233","502"
"Oregon","196","144","340"
"Pennsylvania","744","348","1092"
"Rhode Island","142","63","205"
"South Carolina","289","226","515"
"South Dakota","15","18","33"
"Tennessee","512","351","863"
"Texas","720","431","1151"
"Utah","268","187","455"
"Vermont","40","24","64"
"Virginia","493","265","758"
"Washington","399","274","673"
"West Virginia","359","195","554"
"Wisconsin","388","239","627"
"Wyoming","34","20","54"