"Location","White, Non-Hispanic","Black,Non-Hispanic","Hispanic","Total"
"United States","27056","2741","2507","33091"
"Alabama","243","NSD","NSD","282"
"Alaska","56","NSD","NSD","86"
"Arizona","487","23","127","671"
"Arkansas","185","NSD","NSD","203"
"California","1427","126","372","2018"
"Colorado","383","18","84","495"
"Connecticut","580","35","67","685"
"Delaware","122","NSD","NSD","133"
"District of Columbia","15","NSD","NSD","98"
"Florida","1529","69","211","1838"
"Georgia","733","103","15","858"
"Hawaii","36","NSD","NSD","62"
"Idaho","86","NSD","NSD","90"
"Illinois","1006","219","110","1381"
"Indiana","496","NSD","NSD","535"
"Iowa","153","NSD","NSD","170"
"Kansas","134","NSD","NSD","150"
"Kentucky","847","NSD","NSD","885"
"Louisiana","241","33","12","287"
"Maine","229","NSD","NSD","238"
"Maryland","762","291","17","1087"
"Massachusetts","1299","65","122","1550"
"Michigan","1052","181","49","1309"
"Minnesota","269","NSD","NSD","338"
"Mississippi","137","NSD","NSD","150"
"Missouri","570","NSD","NSD","692"
"Montana","41","NSD","NSD","48"
"Nebraska","50","NSD","NSD","55"
"Nevada","346","24","37","419"
"New Hampshire","365","NSD","NSD","380"
"New Jersey","638","102","113","862"
"New Mexico","130","NSD","NSD","351"
"New York","1600","182","307","2166"
"North Carolina","1032","103","19","1171"
"North Dakota","29","NSD","NSD","34"
"Ohio","2414","223","56","2698"
"Oklahoma","358","17","12","427"
"Oregon","306","NSD","NSD","331"
"Pennsylvania","1226","90","41","1362"
"Rhode Island","210","10","30","254"
"South Carolina","511","NSD","NSD","554"
"South Dakota","19","NSD","NSD","27"
"Tennessee","942","66","18","1038"
"Texas","895","85","281","1287"
"Utah","403","NSD","NSD","448"
"Vermont","74","NSD","NSD","79"
"Virginia","666","116","20","820"
"Washington","586","27","37","692"
"West Virginia","589","NSD","NSD","629"
"Wisconsin","511","77","21","622"
"Wyoming","38","NSD","NSD","46"